ID,lon,lat,Type,Present
1,1.5319333374849293,47.998432422287266,,
2,1.5319865413932519,47.998469641966295,,
3,1.5320349085818634,47.99851818933294,,
4,1.53208085741133,47.99855540895004,,
5,1.5321316429605076,47.998600719752034,V,
6,1.5321800101491476,47.998644412273535,,
7,1.5322283773377592,47.998683250039136,,
8,1.5322791628868515,47.998733415443496,,
9,1.5323275300755768,47.99877548961567,,
10,1.5323758972641883,47.9988127090472,V,
11,1.5324242644541357,47.998858019623185,,
12,1.5324702132835455,47.99890009369378,,
13,1.532520998831444,47.9989437859613,,
14,1.5325669476609107,47.99898909642221,,
15,1.5326201515691764,47.99902793392869,V,
16,1.5326685187578448,47.99907324431567,,
17,1.5327144675873399,47.99911369998438,,
18,1.5327652531364322,47.999155773846866,,
19,1.5328112019659272,47.99920108412155,,
20,1.5328644058741645,47.99924315791233,V,
21,1.5329079363432356,47.9992836134478,,
22,1.5329557351246592,47.9993261505214,,
23,1.5320354165644972,47.99842208149889,,
24,1.5320764700553013,47.99846247999358,,
25,1.5321271831897434,47.99850934220788,,
26,1.5321718590469118,47.99854974063382,V,
27,1.5322213647272065,47.99859094699602,,
28,1.5322684554952843,47.99863457722617,,
29,1.5323155462633338,47.99867578352064,,
30,1.5323640432308707,47.99872116316266,,
31,1.5324147563666202,47.99876317735274,V,
32,1.5324630545901243,47.998806807437205,,
33,1.5325137677246516,47.998849629521004,,
34,1.532560381129258,47.99889011037018,,
36,1.5326599901917461,47.998978990819666,V,
37,1.5327048579247844,47.99901606706587,,
38,1.5327543636051075,47.999061312856696,,
39,1.5328038692840664,47.999103326769784,,
40,1.532855789875299,47.99914695656619,,
41,1.5329028806433485,47.999188970409506,V,
42,1.5329560086887284,47.999231792176516,,
43,1.5330030994581136,47.99927542186427,,
45,1.5321192551863305,47.99840677471457,,
46,1.5321690661121465,47.99845484831425,,
47,1.532219834941202,47.99850035794765,,
48,1.5322667721600567,47.99854138068119,,
49,1.5323156251844807,47.998585608278916,V,
50,1.5323663940135361,47.998629194859916,,
51,1.5324123733300041,47.998668935534454,,
52,1.5324641000614179,47.998714444979015,,
53,1.5325119953992044,47.99875803224083,,
54,1.5325608484225768,47.998799695746214,V,
55,1.5326087435447278,47.99884135921789,,
56,1.5326537649588943,47.9988836636316,,
57,1.5327045337869833,47.99892917288602,,
58,1.532752428909106,47.99896955430407,,
59,1.5327974503233008,47.99901378153544,V,
60,1.532852050761619,47.999058008728156,,
61,1.532898987980417,47.99909839004539,,
62,1.5329463361448177,47.99914211680897,,
63,1.5329990207785613,47.99918570291982,,
64,1.5321652343462802,47.99836188270177,,
65,1.5322140873697094,47.99840354652707,,
66,1.5322638982964634,47.998446492280806,,
67,1.532312751319978,47.9984887970183,V,
68,1.5323606464421005,47.99853046074111,,
69,1.5324047099539087,47.998572765409705,,
70,1.5324554787819693,47.99862019787582,,
71,1.5325062476110247,47.99866186149251,,
72,1.5325553584831368,47.998702431181016,V,
73,1.5326022957019632,47.99874665864067,,
74,1.5326482750184027,47.998788963132,,
75,1.532696501616698,47.99883160310023,,
76,1.5327453546401273,47.99887583044915,,
77,1.5327961234692395,47.998918775809784,V,
78,1.532844976492612,47.99896300308464,,
79,1.532892871614763,47.9990046664245,V,
80,1.5329407667359192,47.99904889362506,,
81,1.5329944092719359,47.99909312078768,,
82,1.5322035544054984,47.99831208133307,,
83,1.5322514495265693,47.99835182225189,,
84,1.5323060499649728,47.99839540903042,,
85,1.5323520292814408,47.99843643184744,V,
86,1.5324008823059216,47.99848258247766,,
87,1.532450693232704,47.998522964244586,,
88,1.5324995462561333,47.99856783283832,,
89,1.5325503151500186,47.998610778957556,,
90,1.5325972523688165,47.9986543655173,V,
91,1.532644189587586,47.998696670084314,,
92,1.532692084709737,47.99873769266179,,
93,1.5327438114411507,47.99878256106882,,
94,1.5327936223669099,47.998825506507075,,
96,1.5328889264780798,47.99891013601302,,
97,1.5329320320875865,47.998952440370346,,
98,1.5329885483306498,47.998994744692936,,
99,1.5322923459357867,47.99829973201304,,
100,1.5323440726672004,47.998343318835595,,
101,1.532394841495261,47.998386264639464,V,
102,1.5324417787150821,47.99842985138889,,
103,1.5324935054455011,47.99847407908294,,
104,1.5325414005676237,47.99851638379778,,
105,1.532589295688723,47.998559329457635,,
106,1.5326400645178353,47.99860227508171,V,
107,1.5326870017366332,47.998649707520684,,
108,1.532738784965602,47.9986883546251,,
109,1.5327905116970726,47.9987338640525,,
110,1.5328355331111823,47.998774245623395,,
111,1.5328853440369699,47.99881911399794,V,
112,1.532932281256791,47.998860777453956,,
113,1.5329811342801918,47.99890692770461,,
114,1.5323409603147127,47.99825026257881,,
115,1.5323878975335106,47.99829320846018,V,
116,1.5324367505579346,47.998336154305775,,
117,1.5324884772893483,47.998379100116324,,
118,1.5325392461174374,47.998423327853146,,
119,1.53258714123956,47.99846627359045,,
120,1.5326340784583863,47.998507937331425,V,
121,1.5326838893851402,47.99855344691798,,
122,1.5327343089538203,47.99859404939727,,
123,1.5327841198805459,47.99863955890717,,
124,1.5328310570993722,47.99868314544261,,
125,1.5328827838308143,47.99872544998672,V,
126,1.5329306789519137,47.99876647254064,,
127,1.5329843214879588,47.998814545805146,,
129,1.5324309334336306,47.99824146206103,,
130,1.5324826601640495,47.998283766966665,,
131,1.532532471090832,47.99833119969847,,
132,1.5325765346026685,47.998372863548525,V,
133,1.5326282613340538,47.998416450309264,,
134,1.5326771143574547,47.998460678014055,,
135,1.5327259673819356,47.998502982740604,,
136,1.532774240649843,47.998546303579644,,
137,1.5328269252835867,47.99858860823528,V,
138,1.5328709887944,47.998632835792534,,
139,1.5329246313303884,47.99867449939896,,
140,1.5329744422571707,47.998718726883254,,
141,1.5330185057690358,47.99876231335182,,
142,1.5330692967061452,47.99880607855138,V,
143,1.5331181497305693,47.998847742017915,,
144,1.5324739021328924,47.99819182583727,,
145,1.5325256288633113,47.998235412751654,V,
146,1.5325716081798078,47.998277076679074,,
147,1.5326242928134945,47.99832002253811,,
148,1.5326702721310141,47.9983636093435,,
149,1.5327210409590748,47.99840783709362,,
150,1.5327679781778443,47.998450782844486,V,
151,1.5328187471490367,47.99849565176075,,
152,1.5328666422701644,47.99853795645794,,
153,1.53291645319689,47.9985809020998,,
154,1.5329672220249506,47.998623847705915,,
155,1.533017032951733,47.99866871621194,V,
156,1.5330678017808452,47.99871166174498,,
157,1.5331156969019446,47.99875460724226,,
158,1.5331618500179616,47.998798111043556,,
159,1.532569748211614,47.99818180373407,,
160,1.5326128538210924,47.998226672623844,,
161,1.5326655384547792,47.99826769557501,,
162,1.5327134335769301,47.99831320537348,,
163,1.5327613286980863,47.99835486923806,V,
164,1.5328111396238455,47.99839781503235,,
165,1.5328657400632153,47.99844332471602,,
166,1.5329122243162772,47.9984853652075,,
167,1.5329601194383997,47.99853087481395,,
168,1.5330089724618574,47.99857382046176,V,
169,1.5330597412909697,47.99861676607378,,
170,1.5331067008724233,47.998657122956615,,
171,1.5331574697005408,47.998703273389424,,
175,1.532705373389632,47.99821681394661,,
176,1.5327532685117262,47.99826232378996,,
177,1.5328049952421452,47.998304628678454,,
178,1.5328548061689276,47.99834629254997,,
179,1.532904799925717,47.99839063450702,V,
180,1.5329536529491463,47.9984374261594,,
181,1.5330015480702741,47.99847716698099,,
182,1.5330542327039893,47.99852139463442,,
183,1.533101169923782,47.998563699310466,,
184,1.5331509760525819,47.99860808283128,V,
185,1.5332036606863255,47.998649746457716,,
186,1.5332534716131079,47.99869205102854,,
187,1.5332994509295759,47.99873627849715,,
188,1.5327043196729164,47.998124719748944,,
189,1.5327483831847815,47.998165101796644,,
190,1.5327991520138369,47.99820740676489,V,
191,1.532844173427975,47.998252275633064,,
192,1.5328959001594171,47.9982965034786,,
193,1.5329457110851763,47.99833816735668,,
194,1.5329974378165332,47.99838239512857,,
195,1.5330435898731594,47.99842723556401,V,
196,1.5330934007999417,47.99847082227882,,
197,1.5331441696280024,47.998512486016125,,
198,1.5331930226524833,47.99855863657831,,
199,1.533243791481567,47.99860030024473,,
201,1.5333414195842465,47.99868675981446,,
203,1.5327924908513353,47.99811477149146,,
204,1.532840385972463,47.99815579453161,,
205,1.532887323191261,47.99819938147576,,
206,1.5329352183133835,47.99824232740016,,
207,1.5329859871424674,47.99828783722032,V,
208,1.5330348401658966,47.99832821914035,,
209,1.5330894406042432,47.998375010849344,,
210,1.5331325462137784,47.99841539270113,,
211,1.5331850384835946,47.99846110007053,,
212,1.533232933604694,47.99850148185493,V,
213,1.5332846603361077,47.99854763242698,,
214,1.5333373449698513,47.998591219040065,,
215,1.533389071701265,47.99863865148919,,
216,1.5334379247246943,47.99867839215648,,
218,1.532883299180071,47.998104713416865,,
219,1.5329359838127914,47.99815086434384,,
220,1.5329829210326125,47.998191246370396,,
221,1.5330308161537687,47.99823675623628,,
222,1.5330825428851256,47.99828162507825,V,
223,1.5331313959086117,47.99832328896835,,
224,1.5331773752261313,47.998366875771666,,
225,1.533229101956465,47.99840661664757,,
226,1.533279542467227,47.99845329060949,,
227,1.5333274375883263,47.998498159263846,V,
228,1.5333724590024929,47.99853661807876,,
229,1.5334299331488523,47.99858148666061,,
230,1.5334778282699517,47.99862379128743,,
231,1.5335257233920743,47.998666095879514,,
233,1.532925341033291,47.998054355662106,,
234,1.5329751519590218,47.99809858367732,,
236,1.5330719001046305,47.998181911719456,V,
237,1.5331226689337143,47.99822870356118,,
238,1.5331705640548137,47.99827100847722,,
239,1.5332175012746347,47.998312672375874,,
240,1.533267312200394,47.998356900170336,,
241,1.5333186218958872,47.99840168129805,V,
242,1.5333722644319323,47.998443345091204,,
243,1.5334211174563563,47.99848821375414,,
244,1.5334680546751827,47.998529236497404,,
245,1.533516907698612,47.998573464105505,,
246,1.5335657607230928,47.99861833265467,V,
247,1.5329694065034403,47.99800305015776,,
248,1.5330157619980014,47.99804627344861,,
249,1.533062877417791,47.99808898819461,V,
250,1.5331122726165631,47.99813475395487,,
251,1.5331616678153068,47.99817441758054,,
252,1.533209543161945,47.998218149235726,,
253,1.5332619780649281,47.99826137234635,,
254,1.5333106137359493,47.99830510436189,V,
255,1.5333607688607458,47.99835188694246,,
256,1.53340636442843,47.99839104189559,,
257,1.533455759627202,47.9984347733666,,
258,1.5335074346048998,47.99847799629572,,
259,1.5335544457486492,47.99852125336366,V,
260,1.5336068806524281,47.998564476220366,,
35,1.5326092605438646,47.99893633691707,,FALSE
44,1.532070727939299,47.99836626666357,,FALSE
95,1.5328326279077942,47.99888364624485,,FALSE
128,1.53303022025176,47.99885576490564,,FALSE
172,1.5332136088184711,47.998769239361934,,FALSE
174,1.5326664825260536,47.998175442436036,,FALSE
173,1.5326299457673827,47.9981393166905,,FALSE
200,1.5332991876198037,47.99865335528372,,FALSE
202,1.5327546277128477,47.998083559158715,,FALSE
217,1.5328427659790407,47.99806881829815,,FALSE
232,1.5328890190800735,47.99802113781726,,FALSE
235,1.5330285070581908,47.99814920670826,,FALSE
